check_id,check_description,schema,table,valueset_name,concept_field,vocabulary_field,filter_logic
pd_race_cid,Race,cdm,demographic,valueset_race,race,,
pd_eth_cid,Ethnicity,cdm,demographic,valueset_ethnicity,hispanic,,
